index,description,source
7,BeatBox Red White and Blue Variety 6pk 500ml,TotalWine
7,BeatBox Hard Tea Variety 6pk 500ml,TotalWine
7,Bud Light Seltzer Flavor Burst Variety 24 12ozCan,TotalWine
7,Press Sparkling Premium Signature Variety 12pk 12oz Cans,TotalWine
7,Jack Daniels Country Cocktails Party Pack Variety 12pk 12oz Cans,TotalWine
7,Vizzy Refreshingly Berry Variety 12pk 12oz Cans,TotalWine
7,Cayman Jack Zero Sugar 12pk 12oz Cans,TotalWine
7,LoverBoy Spritz Variety Pack 8pk 8oz Cans,TotalWine
7,Press Synergy Variety Pack 12pk 12oz Cans,TotalWine
7,Cayman Jack Variety 12pk 12oz Cans,TotalWine
7,Vizzy Mimosa Hard Seltzer Variety Pack 12pk 12oz Cans,TotalWine
7,Mike's Hard Lemonade Zero Sugar 12pk 12oz Cans,TotalWine
2,Negative 196 Vodka Seltzer Variety 8pk 12oz Cans,TotalWine
7,Smirnoff Ice Original Hard Beverage 12pk 11oz Btls,TotalWine
7,Strongbow Gold Hard Cider 6pk 12oz Btls,TotalWine
7,Smirnoff Ice Red White and Berry Hard Beverage 12pk 12oz Cans,TotalWine
7,LoverBoy Vacay Vibes Variety 8pk 12oz Cans,TotalWine
7,Downeast Guava Passion Fruit 4pk 12oz Cans,TotalWine
7,Original Sin Black Widow Hard Cider 6pk 12oz Cans,TotalWine
7,Mighty Swell Hard Seltzer Variety Pack 12pk 12oz Cans,TotalWine
7,Woodchuck Hard Cider Variety Pack Can 12pk 12oz Cans,TotalWine
7,Bud Light Seltzer Flavor Burst Variety 12pk 12oz Cans,TotalWine
7,Woodchuck Amber Draft Cider 6pk 12oz Cans,TotalWine
7,Vizzy Tangy Lemonade Variety 12pk 12oz Cans,TotalWine
10,Anheuser Busch Hoop Tea American Original 12pk 12oz Cans,TotalWine
7,McKenzie's Black Cherry Hard Cider 6pk 12oz Btls,TotalWine
8,El Jimador Variety Pack 12pk 12oz Cans,TotalWine
7,Mike's Hard Variety Pack 24 12ozBottle,TotalWine
7,Bud Light Seltzer Retro Tie Dye Pack 12pk 12oz Cans,TotalWine
7,Rekorderlig Mango Raspberry 4 11.2oz Cans,TotalWine
7,Press Sparkling Premium Select Hard Seltzer Variety 12pk 12oz Cans,TotalWine
7,Smirnoff Ice Smash Red White and Berry 1 23oz can,TotalWine
7,Jack Daniels Black Cola Hard Beverage 6pk 10oz Btls,TotalWine
7,BeatBox Green Apple 500ml,TotalWine
7,Wolffer Estate No.139 Dry Rose Hard Cider 4pk 12oz Btls,TotalWine
7,Angry Orchard Green Apple 6pk 12oz Btls,TotalWine
7,Rekorderlig Pear Cider 4 11.2oz Cans,TotalWine
4,1911 Black Cherry Hard Cider 4pk 16oz Cans,TotalWine
7,Mighty Swell Tropic 12pk 12oz Cans,TotalWine
7,Bud Light Platinum Seltzer Variety Pack 12pk 12oz Cans,TotalWine
7,Mighty Swell Keep It Weird 12pk 12oz Cans,TotalWine
7,Jack Daniels Berry Punch 6pk 10oz Btls,TotalWine
7,LoverBoy Spritz Mango Peach 4pk 8.4oz Cans,TotalWine
7,Mike's Hard Lemonade Hard Beverage 12pk 12oz Cans,TotalWine
7,LoverBoy Cosmopolitan 4pk 8.4oz Cans,TotalWine
7,Mike's Hard Lemonade Hard Beverage 12pk 12oz Btls,TotalWine
7,Smirnoff Sourced Pineapple Coconut 6pk 11oz Btls,TotalWine
7,LoverBoy Spritz Passion Fruit Guava 4pk 8.4oz Cans,TotalWine
7,Citizen Cider Dirty Mayor 4pk 16oz Cans,TotalWine
7,Citizen Cider Wit's Up 4pk 16oz Cans,TotalWine
